type,id,url,twitterUrl,text,source,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,lang,bookmarkCount,isReply,inReplyToId,conversationId,displayTextRange,inReplyToUserId,inReplyToUsername,author,extendedEntities,card,place,entities,quoted_tweet,retweeted_tweet,isLimitedReply,article
tweet,193352412961050625,https://x.com/CaltransDist3/status/193352412961050625,https://twitter.com/CaltransDist3/status/193352412961050625,I-80 remains closed from West Sac to Davis while police search for a shooting suspect. No estimated time for reopen.  Seek alternate routes,Twitter for iPhone,2,0,0,0,0,Fri Apr 20 14:56:22 +0000 2012,en,0,False,,193352412961050625,"[0, 139]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,215545306681573377,https://x.com/CaltransDist3/status/215545306681573377,https://twitter.com/CaltransDist3/status/215545306681573377,Westbound I-80 is closed at Secret Town Road for fire. Detour is in place.  Reduce speeds and use caution on the detour. @D3PIO,Twitter for iPhone,0,0,0,0,0,Wed Jun 20 20:43:00 +0000 2012,en,0,False,,215545306681573377,"[0, 127]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': [{'id_str': '709920559619022848', 'indices': [121, 127], 'name': 'dawgawdfwa', 'screen_name': 'D3PIO'}]}",,,False,
tweet,239009928721858560,https://x.com/CaltransDist3/status/239009928721858560,https://twitter.com/CaltransDist3/status/239009928721858560,Eastbound I-80 is closed at Eagle Lakes for a collision.  There is no detour available or an estimated time of reopening. @D3PIO,Twitter for iPhone,0,0,0,0,0,Fri Aug 24 14:43:02 +0000 2012,en,0,False,,239009928721858560,"[0, 128]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': [{'id_str': '709920559619022848', 'indices': [122, 128], 'name': 'dawgawdfwa', 'screen_name': 'D3PIO'}]}",,,False,
tweet,256050992922128384,https://x.com/CaltransDist3/status/256050992922128384,https://twitter.com/CaltransDist3/status/256050992922128384,Westbound I-80 Rest Area closed for Maintenance.  Scheduled to reopen at 5 p.m. today. @d3pio,Twitter for iPhone,0,0,0,0,0,Wed Oct 10 15:18:08 +0000 2012,en,0,False,,256050992922128384,"[0, 93]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': [{'id_str': '709920559619022848', 'indices': [87, 93], 'name': 'dawgawdfwa', 'screen_name': 'd3pio'}]}",,,False,
tweet,317369575534637056,https://x.com/CaltransDist3/status/317369575534637056,https://twitter.com/CaltransDist3/status/317369575534637056,EB I-80 in Davis reopened. WB lanes still closed after big rig crash at Old Davis Road. Closure could affect evening commute.,Twitter for iPhone,2,0,0,0,0,Thu Mar 28 20:16:17 +0000 2013,en,0,False,,317369575534637056,"[0, 125]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,349641817211420672,https://x.com/CaltransDist3/status/349641817211420672,https://twitter.com/CaltransDist3/status/349641817211420672,Eastbound I-80 @ Highway 20 scheduled to reopen by 2:50 p.m. #D3PIO,Twitter for iPhone,2,0,0,0,0,Tue Jun 25 21:34:39 +0000 2013,en,0,False,,349641817211420672,"[0, 67]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [{'indices': [61, 67], 'text': 'D3PIO'}], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,352223648121237504,https://x.com/CaltransDist3/status/352223648121237504,https://twitter.com/CaltransDist3/status/352223648121237504,Here's our news release on the I-80 full closure in Sierra; Follow @D3PIO for updates on estimated reopening: http://t.co/W0t2wTSMQk,Twitter for iPhone,5,1,0,0,0,Wed Jul 03 00:33:56 +0000 2013,en,0,False,,352223648121237504,"[0, 132]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [{'display_url': 'bit.ly/19V4NKt', 'expanded_url': 'http://bit.ly/19V4NKt', 'indices': [110, 132], 'url': 'http://t.co/W0t2wTSMQk'}], 'user_mentions': [{'id_str': '709920559619022848', 'indices': [67, 73], 'name': 'dawgawdfwa', 'screen_name': 'D3PIO'}]}",,,False,
tweet,366999804661858304,https://x.com/CaltransDist3/status/366999804661858304,https://twitter.com/CaltransDist3/status/366999804661858304,The rest area at Gold Run on WB I-80 is closed until 2 p.m. for maintenance.,Twitter for iPhone,1,1,0,0,0,Mon Aug 12 19:09:06 +0000 2013,en,0,False,,366999804661858304,"[0, 76]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,410408443355205632,https://x.com/CaltransDist3/status/410408443355205632,https://twitter.com/CaltransDist3/status/410408443355205632,"I-80 Sierra near Truckee #1 lane reopen DUE to big rig fire, all other lanes ETO 8:15 am.",Twitter for iPhone,3,0,0,0,0,Tue Dec 10 13:59:32 +0000 2013,en,0,False,,410408443355205632,"[0, 89]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,410407497040556033,https://x.com/CaltransDist3/status/410407497040556033,https://twitter.com/CaltransDist3/status/410407497040556033,I-80 WB in the  Sierra near Central Truckee #1 lane reopen die to earlier big rig fire.. ETO all lanes 08:15 AM,Twitter for iPhone,2,0,0,0,0,Tue Dec 10 13:55:46 +0000 2013,en,0,False,,410407497040556033,"[0, 111]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,476358288544911360,https://x.com/CaltransDist3/status/476358288544911360,https://twitter.com/CaltransDist3/status/476358288544911360,"Westbound I-80 near Gold Run rest area the #2 lane is closed due to big rig fire, no ETO.",Twitter for iPhone,3,0,0,0,0,Tue Jun 10 13:40:40 +0000 2014,en,0,False,,476358288544911360,"[0, 89]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,520416640773931009,https://x.com/CaltransDist3/status/520416640773931009,https://twitter.com/CaltransDist3/status/520416640773931009,CalFire gave the OK to reopen eastbound  I-80 at 8:18 pm.,Twitter for iPhone,6,0,2,0,0,Fri Oct 10 03:32:50 +0000 2014,en,0,False,,520416640773931009,"[0, 57]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
tweet,520379141120884737,https://x.com/CaltransDist3/status/520379141120884737,https://twitter.com/CaltransDist3/status/520379141120884737,I-80 eastbound all lanes scheduled to reopen at 7 pm tonight.,Twitter for iPhone,9,0,4,0,0,Fri Oct 10 01:03:50 +0000 2014,en,0,False,,520379141120884737,"[0, 61]",,,"{'type': 'user', 'userName': 'CaltransDist3', 'url': 'https://x.com/CaltransDist3', 'twitterUrl': 'https://twitter.com/CaltransDist3', 'id': '509080304', 'name': 'Caltrans District 3', 'isVerified': False, 'isBlueVerified': False, 'verifiedType': None, 'profilePicture': 'https://pbs.twimg.com/profile_images/1980410508/d3facebook_normal.jpg', 'coverPicture': 'https://pbs.twimg.com/profile_banners/509080304/1771276512', 'description': '', 'location': '703 B St., Marysville, CA', 'followers': 102988, 'following': 898, 'status': '', 'canDm': True, 'canMediaTag': True, 'createdAt': 'Wed Feb 29 18:11:59 +0000 2012', 'entities': {'description': {'urls': []}, 'url': {}}, 'fastFollowersCount': 0, 'favouritesCount': 6518, 'hasCustomTimelines': True, 'isTranslator': False, 'mediaCount': 11993, 'statusesCount': 37003, 'withheldInCountries': [], 'affiliatesHighlightedLabel': {}, 'possiblySensitive': False, 'pinnedTweetIds': [], 'profile_bio': {'description': 'Caltrans District 3 maintains the state highway system in 11 Northern California counties. Check https://t.co/y6nSOWP2j8 for 24/7 highway conditions.', 'entities': {'description': {'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'quickmap.dot.ca.gov', 'expanded_url': 'http://quickmap.dot.ca.gov', 'indices': [97, 120], 'url': 'https://t.co/y6nSOWP2j8'}], 'user_mentions': []}, 'url': {'urls': [{'display_url': 'dot.ca.gov/caltrans-near-…', 'expanded_url': 'https://dot.ca.gov/caltrans-near-me/district-3', 'indices': [0, 23], 'url': 'https://t.co/ymEV9urbUk'}]}}}, 'isAutomated': False, 'automatedBy': None}",{},,{},"{'hashtags': [], 'symbols': [], 'timestamps': [], 'urls': [], 'user_mentions': []}",,,False,
